symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
SM,SM Energy Company,10.17,+0.36,+3.67%,750.595k,3.866M,1.149B,24.48,
GLOP-PA,GasLog Partners LP,25.10,+0.11,+0.44%,"1,810","13,278",1.152B,15.02,
HLX,"Helix Energy Solutions Group, Inc.",7.40,+0.23,+3.21%,"64,817","956,958",1.101B,35.24,
MRC,MRC Global Inc.,13.16,-0.03,-0.27%,"75,878","806,195",1.095B,22.47,
PARR,"Par Pacific Holdings, Inc.",21.37,+0.21,+0.99%,32.915k,"299,939",1.09B,10.59,
TALO,Talos Energy Inc.,19.96,+0.65,+3.37%,"16,223","291,785",1.082B,3.55,
CRK,"Comstock Resources, Inc.",5.56,+0.20,+3.73%,"75,620","508,084",1.027B,6.44,
GLOP-PB,GasLog Partners LP,23.85,+0.23,+0.99%,"1,121","22,978",1.023B,18.27,
GLOP-PC,GasLog Partners LP,24.17,+0.21,+0.88%,"5,850","24,944",1.011B,18.51,
HESM,Hess Midstream Partners LP,18.41,0.00,0.00%,"10,455","147,517",1.006B,14.80,
GPRK,GeoPark Limited,16.80,+0.23,+1.39%,"18,566","241,401",991.103M,10.22,
MNRL,"Brigham Minerals, Inc.",20.83,+0.42,+2.08%,"6,897","236,993",1.058B,N/A,
CKH,Seacor Holdings Inc.,47.25,+1.89,+4.17%,"8,335","73,068",947.362M,28.52,
GLOP,GasLog Partners LP,18.89,+0.68,+3.73%,"43,500","134,449",917.614M,14.46,
CNXM,CNX Midstream Partners LP,14.32,+0.04,+0.28%,"80,230","277,676",912.692M,6.63,
OIS,"Oil States International, Inc.",14.29,+0.63,+4.61%,"52,523","659,128",864.655M,N/A,
DO,"Diamond Offshore Drilling, Inc.",6.20,+0.37,+6.26%,"944,608",2.768M,853.014M,N/A,
CRZO,"Carrizo Oil & Gas, Inc.",8.81,+0.14,+1.67%,1.3M,5.3M,815.854M,1.39,
WLL,Whiting Petroleum Corporation,8.62,+0.02,+0.17%,1.42M,6.58M,787.45M,3.15,
NBR-PA,Nabors Industries Ltd.,17.20,+0.81,+4.94%,"6,576","55,471",788.615M,N/A,
SEMG,SemGroup Corporation,9.66,+0.38,+4.09%,"106,121","861,806",768.41M,N/A,
DKL,"Delek Logistics Partners, LP",30.17,+0.20,+0.67%,"12,112","27,922",736.67M,12.24,
BRY,Berry Petroleum Corporation,8.61,+0.01,+0.12%,"48,271","815,434",697.18M,8.65,
KRP,"Kimbell Royalty Partners, LP",14.72,+0.01,+0.09%,"20,904","80,773",690.629M,N/A,
BOOM,DMC Global Inc.,45.41,+0.03,+0.07%,"24,510","368,736",665.079M,12.94,
SOI,"Solaris Oilfield Infrastructure, Inc.",13.91,+0.06,+0.43%,"129,268","510,846",661.827M,7.75,
GLP,Global Partners LP,19.38,+0.15,+0.75%,"7,447","83,919",654.003M,12.56,
CJ,"C&J Energy Services, Inc.",9.74,+0.22,+2.31%,"64,646",1.016M,643.15M,N/A,
BORR,Borr Drilling Limited,5.59,+0.23,+4.29%,"16,318","105,721",602.082M,N/A,
NR,"Newpark Resources, Inc.",6.95,+0.05,+0.65%,"67,203","424,000",625.481M,31.71,
SBR,Sabine Royalty Trust,42.17,+0.21,+0.50%,"1,796","20,903",614.812M,11.63,
TDW,Tidewater Inc.,16.37,+0.41,+2.57%,"37,232","218,679",614.109M,N/A,
DMLP,"Dorchester Minerals, L.P.",17.64,+0.12,+0.68%,"5,965","39,217",611.752M,11.10,
GLP-PA,Global Partners LP,26.30,+0.10,+0.38%,"1,300","5,543",620.68M,12.96,
CAPL,CrossAmerica Partners LP,16.90,-0.01,-0.06%,"1,172","73,820",582.124M,30.45,
FRAC,"Keane Group, Inc.",5.40,+0.09,+1.69%,"131,017",1.502M,566.914M,59.34,
OMP,Oasis Midstream Partners LP,15.66,-0.22,-1.38%,"49,299","129,865",529.236M,8.63,
MTRX,Matrix Service Company,19.48,+0.17,+0.88%,"6,619","110,014",522.204M,"1,298.67",
CRC,California Resources Corporation,10.01,+0.24,+2.46%,"572,431",2.225M,490.534M,1.39,
BCEI,"Bonanza Creek Energy, Inc.",23.71,+0.93,+4.08%,"34,319","196,303",489.227M,2.67,
SGU,"Star Group, L.P.",9.66,+0.07,+0.73%,"20,336","72,490",483.777M,16.21,
PVAC,Penn Virginia Corporation,30.85,+0.85,+2.83%,"33,160","271,192",466.06M,2.68,
SMLP,"Summit Midstream Partners, LP",5.03,-0.05,-0.98%,"52,548","289,371",416.006M,13.06,
REGI,"Renewable Energy Group, Inc.",10.91,+0.14,+1.30%,"149,947","716,244",410.423M,14.68,
SRLP,Sprague Resources LP,16.19,+0.09,+0.56%,"4,464","37,630",368.057M,9.43,
EXTN,Exterran Corporation,10.03,+0.15,+1.52%,"20,298","207,168",353.992M,57.64,
NOA,North American Construction Group Ltd.,11.91,+0.16,+1.36%,"18,766","122,968",296.549M,84.47,
GNE-PA,Genie Energy Ltd.,8.45,-0.04,-0.49%,"2,031","6,851",291.119M,14.32,
KLXE,"KLX Energy Services Holdings, Inc.",12.44,+0.08,+0.67%,"16,136","181,709",288.031M,74.51,
NINE,"Nine Energy Service, Inc.",7.66,-0.09,-1.23%,"109,932","171,558",235.065M,N/A,
PKD,Parker Drilling Company,13.48,+0.62,+4.86%,"1,836","57,636",202.878M,N/A,
GNE,Genie Energy Ltd.,7.31,+0.16,+2.24%,"28,046","299,101",199.127M,12.39,
GEOS,Geospace Technologies Corporation,13.85,+0.43,+3.17%,"6,785","93,761",188.721M,N/A,
PHX,Panhandle Oil and Gas Inc.,11.28,+0.08,+0.71%,"4,495","35,211",184.865M,11.91,
BPT,BP Prudhoe Bay Royalty Trust,8.39,+0.32,+3.96%,"58,570","347,731",179.544M,2.03,
