symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
CBL-PE,"CBL & Associates Properties, Inc",6.97,-0.10,-1.41%,"5,280","38,968",189.186M,N/A,
ARL,"American Realty Investors, Inc.",11.30,-0.15,-1.31%,"1,569","3,430",180.767M,1.14,
EARN,Ellington Residential Mortgage REIT,10.73,+0.07,+0.66%,"13,923","49,252",133.772M,N/A,
PSTL,"Postal Realty Trust, Inc.",15.00,+0.07,+0.47%,508,"38,023",79.692M,N/A,
NLY-PI,"Annaly Capital Management, Inc.",25.72,+0.04,+0.16%,"2,692","218,200",N/A,N/A,
DTLA-P,Brookfield DTLA Fund Office Trust Investor Inc.,19.99,-0.25,-1.21%,"7,634","6,424",N/A,N/A,
CCI-PA,Crown Castle International Corp,"1,282.43",+3.54,+0.28%,"1,231","14,948",N/A,"1,269.73",
PSA-PV,Public Storage Dep Shs Repstg 1,25.48,-0.07,-0.27%,"2,253","30,347",N/A,N/A,
PSA-PW,Public Storage Depositary Share,25.28,+0.02,+0.09%,"1,304","22,420",N/A,N/A,
EPR-PE,EPR Properties Series E Cumulat,38.50,0.00,0.00%,150,"8,847",N/A,11.70,
PSA-PX,Public Storage Depositary Share,25.32,+0.05,+0.18%,340,"13,375",N/A,N/A,
SHO-PF,"Sunstone Hotel Investors, Inc. PFD SER F",26.38,0.00,0.00%,300,"1,335",5.94B,55.77,
PSA-PD,Public Storage Depositary Share,25.85,-0.05,-0.19%,"2,815","44,168",N/A,N/A,
NRZ-PA,New Residential Investment Corp.,26.05,+0.03,+0.12%,"8,887","99,833",N/A,33.06,
PSA-PA,Public Storage Depositary Share,25.80,+0.03,+0.12%,370,"15,012",N/A,N/A,
PSA-PG,Public Storage Depositary Share,26.30,+0.07,+0.26%,"2,438","26,559",N/A,N/A,
RPT-PD,Ramco-Gershenson Properties Trust PERP PFD-D CV,51.30,+0.40,+0.78%,104,"6,264",0,72.56,
PSA-PE,Public Storage Depositary Share,25.79,-0.00,-0.01%,"1,780","38,736",N/A,3.83,
EPR-PC,EPR Properties 5.75% Series C C,32.78,+0.37,+1.16%,"1,246","15,253",N/A,N/A,
PSA-PC,Public Storage Depositary Share,26.10,-0.14,-0.53%,"2,025","16,090",N/A,N/A,
PSA-PF,Public Storage Depositary Share,26.28,-0.04,-0.16%,"1,514","20,521",N/A,3.90,
PSA-PB,Public Storage Depositary Share,26.36,0.00,0.00%,290,"17,114",N/A,3.92,
