symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
TPR,"Tapestry, Inc.",20.95,+0.99,+4.96%,2.400M,4.546M,6.011B,9.48,
DLB,"Dolby Laboratories, Inc.",60.12,+0.75,+1.25%,"57,762","390,523",6.058B,19.95,
CBD,Companhia Brasileira de Distribuição,21.45,+0.03,+0.14%,"119,303","578,069",6.021B,19.82,
IAA,"IAA, Inc.",43.94,+0.64,+1.48%,"72,149",1.579M,5.865B,30.62,
ALV,"Autoliv, Inc.",66.33,+0.50,+0.77%,"47,767","645,946",5.787B,23.43,
SON,Sonoco Products Company,57.08,+0.19,+0.34%,"34,591","454,104",5.712B,18.96,
LB,"L Brands, Inc.",20.45,+0.09,+0.44%,"695,013",5.104M,5.651B,8.95,
HRB,"H&R Block, Inc.",27.78,+0.26,+0.96%,"178,184",2.686M,5.62B,13.62,
WWE,"World Wrestling Entertainment, Inc.",70.45,+0.84,+1.21%,"228,490",1.177M,5.542B,84.47,
VIPS,Vipshop Holdings Limited,8.19,+0.28,+3.60%,3.477M,6.447M,5.472B,17.00,
PVH,PVH Corp.,72.76,+2.04,+2.88%,"199,977",1.549M,5.451B,8.60,
TTM,Tata Motors Limited,8.48,-0.08,-0.88%,"285,481",1.464M,5.409B,4.39,
HUYA,HUYA Inc.,24.47,+0.18,+0.74%,1.072M,2.385M,5.338B,N/A,
TRIP,"TripAdvisor, Inc.",38.20,+0.21,+0.55%,"375,292",1.444M,5.321B,39.02,
BERY,"Berry Global Group, Inc.",40.06,+0.44,+1.10%,"120,927",1.469M,5.291B,17.34,
ALSN,"Allison Transmission Holdings, Inc.",43.70,+0.62,+1.44%,"81,940","891,492",5.266B,7.95,
TOL,"Toll Brothers, Inc.",36.07,+0.85,+2.41%,"182,855",1.638M,5.189B,7.24,
LEG,"Leggett & Platt, Incorporated",39.23,+0.72,+1.87%,"62,755",1.244M,5.158B,18.25,
HOG,"Harley-Davidson, Inc.",32.68,+0.42,+1.30%,"142,135",1.798M,5.122B,12.10,
WSM,"Williams-Sonoma, Inc.",64.69,+1.40,+2.20%,"194,351",1.727M,5.085B,15.43,
QRTEA,"Qurate Retail, Inc.",12.11,+0.54,+4.67%,"738,280",4.136M,5.063B,10.34,
