symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
CSIQ,Canadian Solar Inc.,24.23,+0.84,+3.57%,"370,089","730,439",1.436B,6.67,
MSTR,MicroStrategy Incorporated,137.46,+0.13,+0.09%,"9,294","130,123",1.408B,52.39,
SONO,"Sonos, Inc.",13.20,+1.29,+10.83%,1.811M,"977,944",1.403B,61.40,
RMBS,Rambus Inc.,12.48,+0.26,+2.09%,"158,323","516,234",1.387B,N/A,
EGOV,NIC Inc.,20.66,+0.14,+0.68%,"19,159","392,744",1.383B,26.94,
LINX,Linx S.A.,7.60,-0.12,-1.55%,"12,722","622,167",1.399B,N/A,
RCM,R1 RCM Inc.,12.21,+0.13,+1.08%,"37,492","913,133",1.369B,N/A,
STMP,Stamps.com Inc.,61.70,-0.61,-0.98%,"208,250","674,492",1.368B,10.71,
MTSI,"MACOM Technology Solutions Holdings, Inc.",20.38,+0.44,+2.21%,"53,426","879,704",1.346B,N/A,
PSDO,"Presidio, Inc.",16.06,+0.01,+0.06%,"997,009","537,682",1.335B,37.35,
KLIC,"Kulicke and Soffa Industries, Inc.",20.97,+0.41,+1.99%,"31,329","441,971",1.33B,40.56,
FORM,"FormFactor, Inc.",17.36,+0.15,+0.87%,"45,095","278,580",1.305B,12.60,
SCPL,SciPlay Corporation,10.33,-0.17,-1.62%,"163,527","487,736",1.304B,4.35,
CRTO,Criteo S.A.,19.40,+0.33,+1.73%,"31,684","451,607",1.264B,15.34,
SSYS,Stratasys Ltd.,23.18,+0.46,+2.02%,"72,992","621,995",1.26B,275.95,
GSKY,"GreenSky, Inc.",7.03,-0.09,-1.26%,"179,493",1.519M,1.245B,12.88,
SSTK,"Shutterstock, Inc.",35.43,+0.77,+2.22%,"26,405","188,323",1.248B,42.58,
VICR,Vicor Corporation,30.87,+0.86,+2.87%,"20,864","173,034",1.243B,46.91,
SYKE,"Sykes Enterprises, Incorporated",29.15,+0.60,+2.12%,"22,079","161,588",1.241B,22.95,
SIMO,Silicon Motion Technology Corporation,33.55,+0.58,+1.76%,"44,334","323,765",1.214B,12.33,
RDWR,Radware Ltd.,25.53,+0.14,+0.55%,"8,430","156,500",1.199B,62.88,
SYNA,Synaptics Incorporated,34.84,+0.69,+2.02%,"74,021","594,025",1.202B,55.92,
PRFT,"Perficient, Inc.",36.17,+0.92,+2.61%,"35,213","342,980",1.192B,40.64,
LORL,Loral Space & Communications Inc.,37.57,+0.13,+0.35%,"2,403","41,782",1.162B,14.37,
WIRE,Encore Wire Corporation,55.35,+1.04,+1.91%,"6,304","70,030",1.157B,14.49,
OPRA,Opera Limited,10.22,+0.31,+3.13%,"18,085","125,212",1.127B,32.65,
TTMI,"TTM Technologies, Inc.",10.60,+0.34,+3.31%,"114,559",1.119M,1.118B,15.06,
PLT,"Plantronics, Inc.",28.23,+1.02,+3.73%,"49,632","502,131",1.115B,N/A,
PLUS,ePlus inc.,82.37,+2.40,+3.00%,"40,133","119,653",1.112B,17.41,
EBIX,"Ebix, Inc.",36.06,+0.98,+2.79%,"55,293","372,400",1.099B,12.14,
TWOU,"2U, Inc.",17.08,+0.48,+2.89%,"472,985",2.389M,1.082B,N/A,
NTGR,"NETGEAR, Inc.",34.31,+1.03,+3.11%,"27,810","292,609",1.081B,285.96,
VRTU,Virtusa Corporation,35.39,+0.77,+2.22%,"35,253","172,101",1.07B,46.26,
KEM,KEMET Corporation,18.42,+0.24,+1.29%,"268,577",1.023M,1.069B,5.14,
MTSC,MTS Systems Corporation,59.30,+0.45,+0.76%,"20,136","149,138",1.065B,25.87,
MEI,"Methode Electronics, Inc.",27.57,+0.94,+3.53%,"21,202","229,142",1.022B,11.35,
