symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
FLS,Flowserve Corporation,42.69,+0.32,+0.74%,193.931k,"990,052",5.599B,27.19,
JBLU,JetBlue Airways Corporation,18.55,+0.15,+0.82%,436.247k,3.98M,5.497B,12.89,
LTM,LATAM Airlines Group S.A.,8.89,+0.05,+0.57%,"51,980","375,003",5.326B,30.87,
BWXT,"BWX Technologies, Inc.",56.85,+0.78,+1.39%,"31,693","465,790",5.411B,26.62,
ACM,AECOM,33.98,+1.04,+3.16%,"214,890","999,885",5.36B,18.25,
AGCO,AGCO Corporation,68.82,+1.27,+1.88%,"152,546","628,226",5.247B,14.34,
CW,Curtiss-Wright Corporation,121.28,+1.33,+1.11%,"9,825","265,888",5.182B,18.04,
LECO,"Lincoln Electric Holdings, Inc.",83.37,+1.05,+1.28%,"28,529","393,534",5.151B,17.07,
MAN,ManpowerGroup Inc.,86.09,+1.14,+1.34%,"24,975","563,279",5.152B,10.77,
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",91.21,-1.27,-1.37%,"2,860","48,703",5.097B,20.54,
ITT,ITT Inc.,57.25,+1.20,+2.14%,"79,814","517,134",5.038B,16.87,
MMS,"MAXIMUS, Inc.",78.38,+1.00,+1.30%,"22,416","283,474",5.001B,22.80,
TNET,"TriNet Group, Inc.",69.24,+0.72,+1.05%,"57,362","306,019",4.842B,26.37,
OSK,Oshkosh Corporation,70.29,+0.84,+1.20%,49.934k,"593,726",4.807B,8.68,
JOBS,"51job, Inc.",72.36,+3.02,+4.36%,"82,717","237,404",5.045B,42.77,
PWR,"Quanta Services, Inc.",33.60,+0.43,+1.30%,"134,769",1.345M,4.779B,15.28,
MRCY,"Mercury Systems, Inc.",84.85,+1.00,+1.19%,"40,423","575,173",4.703B,88.39,
GNRC,Generac Holdings Inc.,74.99,+1.22,+1.65%,"138,991","474,779",4.677B,18.56,
EME,"EMCOR Group, Inc.",83.15,+1.30,+1.59%,"22,942","312,600",4.668B,15.17,
MTZ,"MasTec, Inc.",60.68,+0.31,+0.51%,"103,586","758,912",4.629B,14.81,
CR,Crane Co.,76.34,+1.05,+1.39%,"25,699","335,925",4.576B,12.94,
AL-PA,Air Lease Corporation,26.72,-0.13,-0.48%,"2,423","26,715",4.512B,5.46,
CPA,"Copa Holdings, S.A.",106.32,+1.19,+1.13%,"33,143","323,719",4.494B,107.94,
KEX,Kirby Corporation,74.64,+1.47,+2.01%,"52,071","514,139",4.471B,41.08,
TTEK,"Tetra Tech, Inc.",81.24,+1.00,+1.25%,"34,092","583,307",4.445B,25.89,
AAN,"Aaron's, Inc.",65.14,+0.78,+1.22%,"54,078","649,984",4.4B,22.06,
AL,Air Lease Corporation,39.16,+0.67,+1.74%,"56,874","825,269",4.373B,8.01,
LSTR,"Landstar System, Inc.",109.57,+2.17,+2.02%,"31,359","389,215",4.342B,17.06,
SNX,SYNNEX Corporation,85.07,+2.14,+2.58%,"43,849","431,142",4.345B,10.49,
FTDR,"frontdoor, inc.",50.98,+0.63,+1.25%,"41,958","692,709",4.315B,30.90,
CLH,"Clean Harbors, Inc.",77.08,+0.69,+0.90%,"56,260","305,923",4.306B,51.35,
RBA,Ritchie Bros. Auctioneers Incorporated,39.38,+0.54,+1.39%,"81,812","341,706",4.246B,33.09,
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",141.02,-0.61,-0.43%,"18,679","65,061",4.207B,14.55,
AZUL,Azul S.A.,37.56,-0.08,-0.21%,"44,309","565,520",4.267B,N/A,
SRCL,"Stericycle, Inc.",45.99,+1.00,+2.22%,"235,921","877,268",4.191B,N/A,
BCO,The Brink's Company,81.29,+0.83,+1.03%,"47,568","324,984",4.064B,52.41,
FCN,"FTI Consulting, Inc.",107.76,+1.13,+1.06%,"17,361","252,479",4.045B,21.24,
ROLL,RBC Bearings Incorporated,161.21,+1.24,+0.78%,"7,248","100,412",4.01B,36.88,
MSA,MSA Safety Incorporated,103.34,+1.70,+1.67%,"15,121","144,801",4.001B,33.32,
NSP,"Insperity, Inc.",96.00,+2.59,+2.77%,"80,064","404,417",3.954B,24.11,
AJRD,"Aerojet Rocketdyne Holdings, Inc.",49.65,+0.35,+0.71%,"43,255","681,317",3.906B,23.55,
MSM,"MSC Industrial Direct Co., Inc.",69.58,+1.21,+1.78%,"43,993","474,266",3.841B,13.16,
CLGX,"CoreLogic, Inc.",47.14,+0.66,+1.42%,"40,882","534,085",3.778B,122.76,
EXPO,"Exponent, Inc.",71.93,+0.54,+0.76%,"25,974","202,160",3.735B,50.69,
KBR,"KBR, Inc.",25.50,+0.19,+0.75%,"144,134",1.158M,3.61B,19.10,
AAXN,"Axon Enterprise, Inc.",60.73,+1.51,+2.55%,"162,842",1.01M,3.599B,243.90,
HMSY,HMS Holdings Corp.,40.41,+1.03,+2.62%,"119,495","525,192",3.53B,35.42,
SNDR,"Schneider National, Inc.",19.36,+0.51,+2.71%,"50,960","919,822",3.429B,15.13,
EAF,GrafTech International Ltd.,11.74,+0.35,+3.12%,"195,395",1.291M,3.412B,4.17,
PSN,Parsons Corporation,34.24,+0.08,+0.23%,"40,740","510,914",3.405B,28.41,
JBT,John Bean Technologies Corporation,104.60,+1.78,+1.73%,"19,657","162,352",3.41B,27.35,
ASGN,ASGN Incorporated,62.38,+1.01,+1.64%,"37,665","350,736",3.3B,19.23,
ERJ,Embraer S.A.,18.05,-0.04,-0.22%,"142,670","589,168",3.27B,N/A,
MIC,Macquarie Infrastructure Corporation,37.85,+0.46,+1.23%,"57,330","500,914",3.265B,31.86,
WTS,"Watts Water Technologies, Inc.",93.73,+0.33,+0.35%,"13,197","135,688",3.181B,24.47,
CFX,Colfax Corporation,26.74,+0.36,+1.36%,"110,824",1.408M,3.146B,N/A,
WNS,WNS (Holdings) Limited,62.82,-0.22,-0.34%,"12,095","153,177",3.12B,29.47,
CFXA,Colfax Corporation,121.02,+0.74,+0.62%,429,"40,646",3.115B,N/A,
SITE,"SiteOne Landscape Supply, Inc.",75.26,+0.97,+1.31%,"30,983","352,768",3.102B,47.04,
TKR,The Timken Company,40.63,+0.70,+1.75%,"41,709","662,553",3.09B,9.97,
RBC,Regal Beloit Corporation,71.68,+0.92,+1.30%,"67,305","262,304",3.069B,12.08,
GOL,Gol Linhas Aéreas Inteligentes S.A.,17.59,+0.16,+0.92%,"188,530",1.251M,3.051B,N/A,
GSH,Guangshen Railway Company Limited,16.43,+0.20,+1.20%,"4,243","24,753",3.011B,14.28,
VMI,"Valmont Industries, Inc.",133.63,+2.07,+1.57%,"19,921","137,495",2.978B,29.44,
SKYW,"SkyWest, Inc.",56.73,+1.10,+1.98%,"19,719","206,384",2.891B,9.10,
ADSW,"Advanced Disposal Services, Inc.",32.49,-0.01,-0.05%,"72,052","773,976",2.889B,N/A,
SSD,"Simpson Manufacturing Co., Inc.",64.57,+1.18,+1.86%,"25,740","215,957",2.884B,24.67,
BBU,Brookfield Business Partners L.P.,35.12,+0.44,+1.25%,"8,381","46,857",2.852B,33.67,
MOG-A,Moog Inc.,81.26,+1.33,+1.66%,"11,679","141,847",2.838B,16.47,
MOG-B,Moog Inc.,80.07,0.00,0.00%,225,180,2.805B,16.23,
RXN,Rexnord Corporation,26.26,+0.19,+0.75%,"29,715","588,604",2.781B,38.40,
RXN-PA,Rexnord Corporation,53.90,+0.27,+0.50%,139,"30,651",2.779B,78.80,
GATX,GATX Corporation,75.14,+1.02,+1.38%,"22,551","235,536",2.682B,13.68,
SAVE,"Spirit Airlines, Inc.",39.04,+0.64,+1.67%,"111,484",1.123M,2.672B,7.43,
PRLB,"Proto Labs, Inc.",98.61,+2.20,+2.28%,"20,243","197,071",2.704B,37.34,
R,"Ryder System, Inc.",48.63,+0.99,+2.08%,"48,550","511,100",2.594B,8.23,
ABM,ABM Industries Incorporated,39.12,+0.59,+1.53%,"18,559","342,336",2.596B,30.14,
BRC,Brady Corporation,49.09,+0.51,+1.05%,"11,090","261,650",2.593B,20.19,
MLHR,"Herman Miller, Inc.",43.07,+0.61,+1.44%,"14,066","406,626",2.544B,15.95,
FLR,Fluor Corporation,17.56,+0.18,+1.04%,1.449M,2.912M,2.457B,N/A,
NAV,Navistar International Corporation,24.59,+0.65,+2.72%,"69,757","432,833",2.559B,7.66,
TRTN-PA,Triton International Limited,26.74,0.00,0.00%,"18,447","13,250",2.427B,6.17,
STN,Stantec Inc.,21.70,+0.19,+0.88%,"3,425","16,187",2.427B,47.38,
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",43.82,-0.53,-1.20%,"23,035","63,268",2.421B,16.21,
KMT,Kennametal Inc.,29.00,+0.66,+2.33%,"61,292","889,423",2.391B,10.00,
ALGT,Allegiant Travel Company,144.12,+1.31,+0.91%,"19,564","148,012",2.35B,12.71,
EXLS,"ExlService Holdings, Inc.",68.93,+1.53,+2.27%,"14,077","123,028",2.356B,51.94,
B,Barnes Group Inc.,46.02,+0.53,+1.17%,"30,481","194,068",2.33B,15.99,
TRTN,Triton International Limited,31.56,+0.77,+2.50%,"43,524","382,295",2.332B,7.28,
GTES,Gates Industrial Corporation plc,8.00,0.00,0.00%,"213,526","685,917",2.321B,3.03,
ATI,Allegheny Technologies Incorporated,17.99,+0.44,+2.51%,"270,245",1.516M,2.268B,13.51,
GTLS,"Chart Industries, Inc.",63.14,+1.72,+2.80%,"53,900","536,509",2.26B,24.67,
WBT,"Welbilt, Inc.",15.99,+0.19,+1.23%,"70,462",1.373M,2.256B,31.99,
SSW,Seaspan Corporation,10.41,+0.41,+4.10%,"245,491","574,685",2.245B,5.13,
CVA,Covanta Holding Corporation,17.03,+0.25,+1.48%,"62,321","629,820",2.238B,N/A,
CRS,Carpenter Technology Corporation,47.00,+0.83,+1.80%,"11,984","254,611",2.227B,13.70,
WERN,"Werner Enterprises, Inc.",32.13,+0.67,+2.13%,"80,782","736,079",2.223B,12.57,
KFY,Korn Ferry,39.32,+0.60,+1.55%,"24,029","416,420",2.219B,21.71,
TTEC,"TTEC Holdings, Inc.",47.93,+0.77,+1.63%,"13,494","96,357",2.219B,44.34,
TRN,"Trinity Industries, Inc.",17.23,+0.27,+1.59%,"119,000",1.283M,2.203B,19.62,
CUB,Cubic Corporation,70.00,+1.58,+2.30%,"52,572","273,711",2.182B,81.30,
CWST,"Casella Waste Systems, Inc.",45.76,+0.21,+0.46%,"10,770","298,934",2.178B,111.34,
