symbol,company,exchange,date,priceRange,price,currency,shares,actions
PE1.AX,Pengana Pvt Equity Trust,ASX,2019-01-02,-,1.25,AUD,800000000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,4.75,CNY,27590000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,4.75,CNY,248310000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,-,CNY,275900000,Expected
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-02,-,-,CNY,-,Expected
603700.SS,Ningbo Water Meter Co Ltd,Shanghai,2019-01-02,-,-,CNY,39090000,Expected
FOOD.JK,PT Sentra Food Indonesia Tbk,Jakarta,2019-01-02,0.01 - 0.01,0.009,USD,250000000,Priced
603739.SS,Qingdao Vland Biotech Co Ltd,Shanghai,2019-01-02,-,-,CNY,38667000,Expected
SCV.CN,Scotch Creek Ventures Inc,Canadian Sec,2019-01-02,0.09 - 0.09,0.12,CAD,3305000,Priced
IRX.AX,irexchange Ltd,ASX,2019-01-02,0.63 - 0.63,-,AUD,19444444,Filed
,Bank Syariah Mandiri PT,Jakarta,2019-01-02,-,-,USD,-,Amended
PE1.AX,Pengana Pvt Equity Trust,ASX,2019-01-02,0.89 - 0.89,-,AUD,-,Amended
,PT Menteng Heritage Realty Tbk,Jakarta,2019-01-02,-,105,IDR,1191750000,Amended
,Denim LA Inc,LSE,2019-01-02,-,-,GBP,-,Filed
,PT Menteng Heritage Realty Tbk,Jakarta,2019-01-02,-,-,USD,-,Filed
603700.SS,Ningbo Water Meter Co Ltd,Shanghai,2019-01-02,-,16.63,CNY,35181000,Amended
,Tianjin Maoyan Weying Culture,HKSE,2019-01-02,-,-,HKD,-,Amended
IRX.AX,irexchange Ltd,ASX,2019-01-02,0.63 - 0.63,-,-,19444444,Withdrawn
CNTO3.SA,Grupo SBF SA,Sao Paolo,2019-01-03,-,12.5,BRL,53719009,Priced
,PT Meta Epsi PT,Jakarta,2019-01-03,-,-,IDR,-,Expected
1845.HK,Weigang Envi Tech Hldg Grp,HKSE,2019-01-03,0.13 - 0.13,0.88,HKD,31248000,Priced
1845.HK,Weigang Envi Tech Hldg Grp,HKSE,2019-01-03,0.13 - 0.13,0.88,HKD,281223000,Priced
601860.SS,Jiangsu Zijin Rural Coml Bk,Shanghai,2019-01-03,-,3.14,CNY,329481000,Priced
,Jhp Fintech Inc,HKSE,2019-01-03,-,-,HKD,-,Filed
,Grupo SBF SA,Sao Paolo,2019-01-03,-,-,BRL,-,Filed
,MR D I Y Trading Sdn Bhd,Kuala Lumpur,2019-01-03,-,-,USD,-,Filed
,Kerry Logistics Network-Thaila,Thailand,2019-01-03,-,-,USD,-,Filed
,PT Meta Epsi PT,Jakarta,2019-01-03,-,320,IDR,625000000,Amended
,China Railway Special Cargo,Shanghai,2019-01-03,-,-,CNY,-,Filed
ZWIPE-.OL,Zwipe AS,Oslo,2019-01-04,2.32 - 2.32,20,NOK,6000000,Priced
1743.HK,Zhejiang Cangnan Instr Grp Co,HKSE,2019-01-04,-,15.8,HKD,1729800,Priced
1743.HK,Zhejiang Cangnan Instr Grp Co,HKSE,2019-01-04,-,15.8,HKD,10643067,Priced
2360.HK,Best Mart 360 Holdings Ltd,HKSE,2019-01-04,-,-,HKD,-,Amended
2360.HK,Best Mart 360 Holdings Ltd,HKSE,2019-01-04,-,-,HKD,-,Amended
,PT Titan Infra Energy,Jakarta,2019-01-04,-,-,USD,-,Filed
,AK Gold Inc,Canadian Sec,2019-01-04,0.07 - 0.07,-,CAD,3000000,Filed
,China Tobacco Intl(Hk)Co Ltd,HKSE,2019-01-05,-,-,USD,-,Amended
,Cellid Co Ltd,KOSDAQ,2019-01-07,22.40 - 27.78,-,KRW,249270,Priced
,Cellid Co Ltd,KOSDAQ,2019-01-07,22.40 - 27.78,-,KRW,249270,Filed
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,-,INR,2960000,Expected
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,-,INR,160000,Expected
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,8058000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,241942000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,2.2,HKD,150000000,Priced
TCAN.CN,Transcanna Hldg Inc,Canadian Sec,2019-01-08,0.38 - 0.38,0.5,CAD,4400000,Priced
2013.HK,Weimob Inc,HKSE,2019-01-08,-,-,HKD,-,Expected
2013.HK,Weimob Inc,HKSE,2019-01-08,-,-,HKD,-,Expected
603700.SS,Ningbo Water Meter Co Ltd,Shanghai,2019-01-08,-,-,CNY,39090000,Expected
FOOD.JK,PT Sentra Food Indonesia Tbk,Jakarta,2019-01-08,0.01 - 0.01,0.009,USD,250000000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,-,HKD,-,Amended
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,10,INR,2960000,Filed
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,-,HKD,-,Amended
,Gleam Fabmat Ltd,BSE,2019-01-08,0.14 - 0.14,10,INR,160000,Filed
,Helenbergh China Holdings Ltd,HKSE,2019-01-08,-,-,USD,-,Amended
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-08,-,-,HKD,-,Amended
,Affin Hwang Asset Mgmt Bhd,Kuala Lumpur,2019-01-08,-,-,USD,-,Filed
TCAN.CN,Transcanna Hldg Inc,Canadian Sec,2019-01-09,0.38 - 0.38,0.5,CAD,4400000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-09,-,-,CNY,275900000,Expected
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-09,-,-,CNY,-,Expected
,Asset World Corp Co Ltd,Thailand,2019-01-09,-,-,USD,-,Filed
,Ghw International,HKSE,2019-01-09,-,-,HKD,-,Filed
,PT Estika Tata Tiara,Jakarta,2019-01-10,-,-,USD,-,Expected
,Uni Wall Aps Holdings Bhd,Kuala Lumpur,2019-01-10,0.04 - 0.04,-,MYR,45700000,Expected
,Supreme Cnsld Resources Bhd,Kuala Lumpur,2019-01-10,0.12 - 0.12,-,MYR,13140000,Expected
,Bank Syariah Mandiri PT,Jakarta,2019-01-10,-,-,USD,-,Amended
,Pt Bersatu Sejahtera Mandiri,Jakarta,2019-01-10,-,-,USD,-,Filed
,PT Nobel Property Kencana,Jakarta,2019-01-10,-,-,USD,-,Filed
1876.HK,Budweiser Brewing Co APAC Ltd,HKSE,2019-01-11,-,-,HKD,-,Expected
2360.HK,Best Mart 360 Holdings Ltd,HKSE,2019-01-11,-,1,HKD,25000000,Priced
2885.HK,Peiport Holdings Ltd,HKSE,2019-01-11,-,1.25,HKD,80000000,Priced
2885.HK,Peiport Holdings Ltd,HKSE,2019-01-11,-,1.25,HKD,20000000,Priced
,K P I Global Infrastructure,BSE,2019-01-11,-,-,INR,-,Expected
1851.HK,China Gingko Educ Grp Co Ltd,HKSE,2019-01-11,-,-,HKD,-,Amended
1851.HK,China Gingko Educ Grp Co Ltd,HKSE,2019-01-11,-,-,HKD,-,Amended
,Avicanna Inc,Canadian Sec,2019-01-11,7.54 - 7.54,-,CAD,540484,Filed
ANTI.P.V,Antera Ventures I Corp,TSXV,2019-01-11,0.08 - 0.08,0.1,CAD,2000000,Amended
,Megvii Technology Ltd,HKSE,2019-01-11,-,-,USD,-,Filed
,Urban Commons LLC-REIT,SES,2019-01-11,-,-,USD,-,Filed
AISA.CN,Asia Cannabis Corp,Canadian Sec,2019-01-11,0.20 - 0.20,0.25,CAD,5047000,Amended
,Budweiser Brewing Co APAC Ltd,HKSE,2019-01-11,-,-,HKD,-,Amended
1876.HK,Budweiser Brewing Co APAC Ltd,HKSE,2019-01-11,-,-,-,-,Withdrawn
1876.HK,Budweiser Brewing Co APAC Ltd,HKSE,2019-01-11,-,-,-,-,Withdrawn
600928.SS,Bank of Xi'an Co Ltd,Shanghai,2019-01-14,-,4.68,CNY,400001000,Priced
600928.SS,Bank of Xi'an Co Ltd,Shanghai,2019-01-14,-,-,CNY,1333333300,Expected
PSN.V,PhysiN Acq Corp Inc,TSXV,2019-01-14,0.12 - 0.12,0.15,CAD,2551600,Priced
1767.HK,TS Wonders Holding Ltd,HKSE,2019-01-14,-,0.5,HKD,50000000,Priced
A1G.AX,African Gold Ltd,ASX,2019-01-14,0.14 - 0.14,-,AUD,22500000,Filed
,Onoff AG,Frankfurt,2019-01-14,-,-,EUR,-,Amended
,Palace Banquet Holdings Ltd,HKSE,2019-01-14,-,-,HKD,-,Filed
,Shang Gench Educ Grp Ltd,HKSE,2019-01-14,-,-,HKD,-,Filed
,Right Of Reply Ltd,OTC BB,2019-01-14,10.00 - 10.00,-,GBP,250000,Amended
,Grand Venture Technology Ltd,SES,2019-01-15,-,0.275,SGD,42118000,Priced
,Grand Venture Technology Ltd,SES,2019-01-15,-,0.275,SGD,800000,Priced
DEV.L,Dev Clever Holdings PLC,LSE,2019-01-15,0.01 - 0.01,0.01,GBP,59000000,Priced
,Grand Venture Technology Ltd,SES,2019-01-15,-,-,SGD,-,Expected
,Grand Venture Technology Ltd,SES,2019-01-15,-,-,SGD,-,Expected
DEV.L,Dev Clever Holdings PLC,LSE,2019-01-15,0.01 - 0.01,0.01,GBP,10000000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-15,-,-,HKD,-,Expected
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-15,-,-,HKD,-,Expected
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-15,-,-,HKD,-,Expected
2013.HK,Weimob Inc,HKSE,2019-01-15,-,2.8,HKD,160458000,Priced
6162.HK,China Tianrui Automotive,HKSE,2019-01-15,-,0.25,HKD,220000000,Priced
6162.HK,China Tianrui Automotive,HKSE,2019-01-15,-,0.25,HKD,50000000,Priced
2013.HK,Weimob Inc,HKSE,2019-01-15,-,2.8,HKD,23877000,Priced
6162.HK,China Tianrui Automotive,HKSE,2019-01-15,-,0.25,HKD,230000000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-15,-,2.2,HKD,8058000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-15,-,2.2,HKD,241942000,Priced
1785.HK,Chengdu Expressway Co Ltd,HKSE,2019-01-15,-,2.2,HKD,150000000,Priced
ISHE.ST,Industrial Solar Hldg Europe,SAT,2019-01-15,-,6.2,SEK,2540527,Priced
,KEH Holdings Ltd,HKSE,2019-01-15,-,-,HKD,-,Amended
,Home Credit BV,HKSE,2019-01-15,-,-,USD,-,Amended
,Dev Clever Holdings PLC,LSE,2019-01-15,0.01 - 0.01,-,GBP,10000000,Filed
,Home Credit BV,HKSE,2019-01-15,-,-,USD,-,Amended
1769.HK,Scholar Education Group,HKSE,2019-01-16,-,3.68,HKD,112410000,Priced
1769.HK,Scholar Education Group,HKSE,2019-01-16,-,3.68,HKD,12490000,Priced
,Pike Mountain Minerals Inc,TSXV,2019-01-16,0.08 - 0.08,-,CAD,4000000,Filed
,Link Global Tech Inc,Canadian Sec,2019-01-16,0.23 - 0.23,-,CAD,3333333,Filed
,UWC Bhd,Kuala Lumpur,2019-01-16,-,-,MYR,83015000,Filed
HG1.AX,Halu Grp Ltd,ASX,2019-01-16,0.14 - 0.14,-,AUD,2000000,Amended
,UWC Bhd,Kuala Lumpur,2019-01-16,0.20 - 0.20,0.82,MYR,80015000,Filed
,Tutorials Point India Ltd,BSE,2019-01-16,0.65 - 0.65,-,INR,2982000,Filed
,China Yuanfang (Hldg) Grp,HKSE,2019-01-16,-,-,HKD,-,Filed
,UWC Bhd,Kuala Lumpur,2019-01-16,-,-,MYR,20000000,Filed
,Tutorials Point India Ltd,BSE,2019-01-16,0.65 - 0.65,-,INR,159000,Filed
BRICKS.MX,Bricks Acquisition Co,Mexico,2019-01-16,10.00 - 10.00,-,USD,-,Filed
,UWC Bhd,Kuala Lumpur,2019-01-16,0.20 - 0.20,0.82,MYR,23000000,Filed
,WebCash Corp,KOSDAQ,2019-01-17,21.26 - 23.04,-,KRW,208400,Expected
,Changsha Broad Homes,HKSE,2019-01-17,-,-,CNY,-,Filed
6811.HK,Tai Hing Group Holdings Ltd,HKSE,2019-01-18,-,3,HKD,175000000,Priced
6811.HK,Tai Hing Group Holdings Ltd,HKSE,2019-01-18,-,3,HKD,75000000,Priced
6811.HK,Tai Hing Group Holdings Ltd,HKSE,2019-01-18,-,-,HKD,-,Expected
,Ecopro Bm Co Ltd,KOSDAQ,2019-01-18,33.34 - 38.14,-,KRW,1320000,Priced
CXD.P.V,Chainode Opportunities Corp,TSXV,2019-01-18,0.08 - 0.08,0.1,CAD,3000000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-18,-,-,HKD,-,Expected
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-18,-,-,HKD,-,Expected
1851.HK,China Gingko Educ Grp Co Ltd,HKSE,2019-01-18,-,1.44,HKD,12500000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-18,-,-,HKD,-,Expected
1851.HK,China Gingko Educ Grp Co Ltd,HKSE,2019-01-18,-,1.44,HKD,112500000,Priced
,Ecopro Bm Co Ltd,KOSDAQ,2019-01-18,33.34 - 38.14,-,KRW,1200000,Filed
,Nanya New Material Tech Co,Shanghai,2019-01-18,-,-,CNY,58600000,Filed
,Libby K Inds Inc,TSXV,2019-01-18,0.08 - 0.08,0.1,-,2500000,Amended
,SK Magic Co Ltd,KSE,2019-01-18,-,-,USD,-,Filed
,Shine Box Capital Corp,TSXV,2019-01-18,0.08 - 0.08,0.1,-,3000000,Filed
,Antalis Ventures Corp,TSXV,2019-01-18,0.08 - 0.08,0.1,-,3000000,Filed
,Tai Hing Group Holdings Ltd,HKSE,2019-01-18,-,-,USD,-,Amended
NUGT.CN,Prophecy Potash Corp,Canadian Sec,2019-01-21,0.11 - 0.11,0.1,CAD,5500000,Priced
,Ent Plus,HKSE,2019-01-21,-,-,HKD,-,Expected
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-21,-,2.48,HKD,35336000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-21,-,2.48,HKD,317998000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-21,-,2.48,HKD,94232000,Priced
DEV.L,Dev Clever Holdings PLC,LSE,2019-01-21,0.01 - 0.01,0.01,GBP,59000000,Priced
,Grand Venture Technology Ltd,SES,2019-01-21,-,-,SGD,-,Expected
,Grand Venture Technology Ltd,SES,2019-01-21,-,-,SGD,-,Expected
DEV.L,Dev Clever Holdings PLC,LSE,2019-01-21,0.01 - 0.01,0.01,GBP,10000000,Priced
600928.SS,Bank of Xi'an Co Ltd,Shanghai,2019-01-21,-,-,CNY,1333333300,Expected
,PT Jasnita Telekomindo Tbk,Jakarta,2019-01-21,-,246,IDR,203406700,Amended
,Prophecy Potash Corp,Canadian Sec,2019-01-21,0.11 - 0.11,-,CAD,1800000,Filed
,Wenzhou Chengjian Group Co Ltd,HKSE,2019-01-21,-,-,CNY,-,Filed
AAM.AX,Australian Industrial,ASX,2019-01-22,-,-,AUD,-,Expected
CXD.P.V,Chainode Opportunities Corp,TSXV,2019-01-22,0.08 - 0.08,0.1,CAD,3000000,Priced
,K P I Global Infrastructure,BSE,2019-01-22,-,80,INR,249600,Priced
,K P I Global Infrastructure,BSE,2019-01-22,-,80,INR,4742400,Priced
,Al Jazira Capital-USD,Saudi,2019-01-22,-,-,SAR,-,Filed
2180.HK,ManpowerGroup Greater China,HKSE,2019-01-22,-,9.9,HKD,5000000,Amended
,Manpowergrp Greater China Ltd,HKSE,2019-01-22,-,-,HKD,-,Filed
2180.HK,ManpowerGroup Greater China,HKSE,2019-01-22,-,9.9,HKD,45000000,Amended
,Tai Hing Group Holdings Ltd,HKSE,2019-01-22,-,-,USD,-,Amended
NA.CN,Golden Lake Expl Inc,Canadian Sec,2019-01-23,0.07 - 0.07,0.1,CAD,3500000,Priced
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-01-23,901.00 - 901.00,-,JPY,86269,Priced
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-01-23,901.00 - 901.00,-,JPY,3731,Priced
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-01-23,901.00 - 901.00,-,JPY,3731,Expected
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-01-23,901.00 - 901.00,-,JPY,86269,Expected
,Danacore Inds Inc,TSXV,2019-01-23,0.08 - 0.08,0.1,CAD,7500000,Priced
,Grand Venture Technology Ltd,SES,2019-01-23,-,0.275,SGD,42118000,Priced
,Grand Venture Technology Ltd,SES,2019-01-23,-,0.275,SGD,800000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-23,-,4.75,CNY,27590000,Priced
601615.SS,Ming Yang Smart Energy Grp,Shanghai,2019-01-23,-,4.75,CNY,248310000,Priced
,Golden Lake Expl Inc,Canadian Sec,2019-01-23,0.07 - 0.07,-,CAD,3500000,Filed
,AIM Commercial Growth Freehold,Thailand,2019-01-24,0.32 - 0.32,10,THB,288000000,Priced
,Humming Bird Education Ltd,BSE,2019-01-24,1.86 - 1.86,-,INR,9000,Expected
,Humming Bird Education Ltd,BSE,2019-01-24,1.86 - 1.86,-,INR,154000,Expected
,Humming Bird Education Ltd,BSE,2019-01-24,1.86 - 1.86,132,INR,9000,Filed
,Kmh Shilla Leisure Co Ltd,KOSDAQ,2019-01-24,7.98 - 10.20,-,KRW,440000,Filed
,Techniplas Inc,LSE,2019-01-24,-,-,GBP,-,Filed
,Montage Tech (Shanghai) Co,Shanghai,2019-01-24,-,-,CNY,-,Filed
,AIM Coml Growth Freehold And,Thailand,2019-01-24,0.32 - 0.32,-,THB,-,Filed
,Humming Bird Education Ltd,BSE,2019-01-24,1.86 - 1.86,132,INR,154000,Filed
,Kmh Shilla Leisure Co Ltd,KOSDAQ,2019-01-24,7.98 - 10.20,-,-,440000,Withdrawn
NA.V,Kepler Acq Corp,TSXV,2019-01-25,0.08 - 0.08,0.1,CAD,2000000,Priced
,Yuanta SPAC 4,KOSDAQ,2019-01-25,1.79 - 1.79,-,KRW,820000,Priced
2971.JP,ESCON JAPAN REIT Investment Co,Japan OTC,2019-01-25,952.25 - 952.25,-,JPY,9189,Priced
2971.JP,ESCON JAPAN REIT Investment Co,Japan OTC,2019-01-25,952.25 - 952.25,-,JPY,179162,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-25,-,2.48,HKD,35336000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-25,-,2.48,HKD,317998000,Priced
,Danacore Inds Inc,TSXV,2019-01-25,0.08 - 0.08,0.1,CAD,7500000,Priced
1890.HK,China Kepei Educ Grp Ltd,HKSE,2019-01-25,-,2.48,HKD,94232000,Priced
,Webcash Corp,KOSDAQ,2019-01-25,21.26 - 23.04,-,KRW,208400,Priced
,Yuanta SPAC 4,KOSDAQ,2019-01-25,1.77 - 1.77,-,KRW,820000,Filed
NA.V,Hanstone Capital Corp,TSXV,2019-01-28,0.01 - 0.01,0.01,CAD,3000000,Priced
603956.SS,WPG Shanghai Smart Water,Shanghai,2019-01-28,-,5.7,CNY,38337000,Priced
1896.HK,Maoyan Entertainment,HKSE,2019-01-28,-,14.8,HKD,13237800,Priced
1896.HK,Maoyan Entertainment,HKSE,2019-01-28,-,14.8,HKD,103232000,Priced
1896.HK,Maoyan Entertainment,HKSE,2019-01-28,-,14.8,HKD,15907200,Priced
603956.SS,Wpg Shanghai Smart Water,Shanghai,2019-01-28,-,-,CNY,42596100,Expected
OBOR.L,Starcrest Educ The Belt & Road,LSE,2019-01-28,0.26 - 0.26,0.2,GBP,20760000,Priced
ZWIPE-.OL,Zwipe AS,Oslo,2019-01-28,2.32 - 2.32,20,NOK,6000000,Priced
,Feiyang Intl Hldg Grp Ltd,HKSE,2019-01-28,-,-,HKD,-,Filed
1901.HK,Feiyang Intl Hldg Grp Ltd,HKSE,2019-01-28,-,1.05,HKD,49410000,Amended
1901.HK,Feiyang Intl Hldg Grp Ltd,HKSE,2019-01-28,-,1.05,HKD,37500000,Amended
1901.HK,Feiyang Intl Hldg Grp Ltd,HKSE,2019-01-28,-,1.05,HKD,38090000,Amended
,Hanstone Capital Corp,TSXV,2019-01-28,0.01 - 0.01,0.01,-,3000000,Filed
,Port of Napier Ltd,NZSE,2019-01-28,-,-,NZD,181000000,Amended
,SMC Electric Ltd,HKSE,2019-01-28,-,-,HKD,-,Filed
,Kelfred Hldg Ltd,HKSE,2019-01-29,-,-,HKD,-,Expected
,Hyundai Autoever Corp,KSE,2019-01-29,-,-,KRW,1404000,Priced
,Dreamtech Co Ltd,KSE,2019-01-29,9.85 - 11.63,-,KRW,973080,Priced
,Dreamtech Co Ltd,KSE,2019-01-29,9.85 - 11.63,-,KRW,1459620,Priced
1887.JP,JDC Corp,Japan OTC,2019-01-29,4.57 - 4.57,-,JPY,12110400,Expected
1887.JP,JDC Corp,Japan OTC,2019-01-29,4.57 - 4.57,-,JPY,1345600,Expected
AFC.V,Af1 Capital Corp,TSXV,2019-01-29,0.08 - 0.08,0.1,CAD,3000000,Priced
ANDAU,ANDINA ACQUISITION CORP. III,NasdaqCM,2019-01-29,10.00 - 10.00,-,USD,-,Expected
SPT.AX,Splitit Payments Ltd,ASX,2019-01-29,0.14 - 0.14,0.2,AUD,50000000,Priced
,Huali University Group Ltd,HKSE,2019-01-29,-,-,USD,-,Amended
,Platt Nera International Ltd,HKSE,2019-01-29,-,-,THB,-,Filed
,Kelfred Hldg Ltd,HKSE,2019-01-29,-,-,HKD,-,Filed
,Dreamtech Co Ltd,KSE,2019-01-29,9.85 - 11.63,-,KRW,973080,Filed
,Bionexus Gene Lab Corp,OTC BB,2019-01-29,0.05 - 0.05,-,USD,10398779,Filed
1134.HK,Kelfred Hldg Ltd,HKSE,2019-01-29,-,1,HKD,100000000,Amended
,Ktb Securities Thailand Co Ltd,Thailand,2019-01-29,-,-,THB,-,Amended
1134.HK,Kelfred Hldg Ltd,HKSE,2019-01-29,-,1,HKD,25000000,Amended
,Hyundai Autoever Corp,KSE,2019-01-29,-,-,KRW,-,Amended
,Dreamtech Co Ltd,KSE,2019-01-29,9.85 - 11.63,-,KRW,1459620,Filed
6805.HK,Kimou Envi Hldg Ltd,HKSE,2019-01-30,-,-,HKD,-,Expected
NA.V,Buckhaven Capital Corp,TSXV,2019-01-30,0.11 - 0.11,0.15,CAD,2150000,Priced
,Mirae Asset Venture Invest Co,KOSDAQ,2019-01-30,3.33 - 4.05,-,KRW,1100000,Priced
1793.HK,Wecon Holdings Ltd,HKSE,2019-01-30,-,0.625,HKD,60000000,Priced
,Yellow Balloon Tour Co Ltd,KOSDAQ,2019-01-30,13.81 - 16.93,-,KRW,330000,Priced
,Ritco Logistics Ltd,BSE,2019-01-30,1.03 - 1.06,-,INR,334400,Filed
,Ritco Logistics Ltd,BSE,2019-01-30,1.03 - 1.06,-,INR,6265600,Filed
6805.HK,Kimou Envi Hldg Ltd,HKSE,2019-01-30,-,1.33,HKD,252000000,Amended
6805.HK,Kimou Envi Hldg Ltd,HKSE,2019-01-30,-,1.33,HKD,28000000,Amended
,MLC Ltd,ASX,2019-01-30,-,-,AUD,-,Filed
1793.HK,Wecon Holdings Ltd,HKSE,2019-01-30,-,-,HKD,-,Amended
,Buckhaven Capital Corp,TSXV,2019-01-30,0.11 - 0.11,0.15,-,2150000,Filed
1793.HK,Wecon Holdings Ltd,HKSE,2019-01-30,-,-,HKD,-,Amended
,Funds2Grow Ltd,ASX,2019-01-30,-,-,AUD,-,Filed
,Kimou Envi Hldg Ltd,HKSE,2019-01-30,-,-,HKD,-,Filed
6117.HK,Rizhao Port Jurong Co Ltd,HKSE,2019-02-01,-,1.5,HKD,9528000,Priced
6117.HK,Rizhao Port Jurong Co Ltd,HKSE,2019-02-01,-,1.5,HKD,190482000,Priced
6117.HK,Rizhao Port Jurong Co Ltd,HKSE,2019-02-01,-,1.5,HKD,199990000,Priced
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-02-01,901.00 - 901.00,-,JPY,3731,Expected
9286.JP,Enex Infrastructure Invest,Japan OTC,2019-02-01,901.00 - 901.00,-,JPY,86269,Expected
,Innotherapy Inc,KOSDAQ,2019-02-01,17.94 - 22.38,-,KRW,100000,Priced
PVT'U,PIVOTAL ACQUISITION CORP,NYSE,2019-02-01,10.00 - 10.00,-,USD,-,Expected
GMHIU,"GORES METROPOULOS, INC.",NasdaqCM,2019-02-01,10.00 - 10.00,-,USD,-,Expected
603956.SS,Wpg Shanghai Smart Water,Shanghai,2019-02-01,-,-,CNY,42596100,Expected
,Arizon RFID Technology,Shanghai,2019-02-01,-,-,CNY,-,Filed
0382.HK,Edvantage Group Holdings Ltd,HKSE,2019-02-01,-,2.85,HKD,151728000,Amended
0382.HK,Edvantage Group Holdings Ltd,HKSE,2019-02-01,-,2.85,HKD,25000000,Amended
,Edvantage Group Holdings Ltd,HKSE,2019-02-01,-,-,USD,-,Filed
,Yincheng Intl Hldg Co. Ltd.,HKSE,2019-02-01,-,-,USD,-,Amended
,Kuke Music Holding Ltd,HKSE,2019-02-01,-,-,USD,-,Amended
0382.HK,Edvantage Group Holdings Ltd,HKSE,2019-02-01,-,2.85,HKD,73272000,Amended
,Rizhao Port Jurong Co Ltd,HKSE,2019-02-01,-,-,HKD,-,Amended
,Kranti Industries Ltd,BSE,2019-02-04,0.18 - 0.18,-,INR,2460000,Expected
,Kranti Industries Ltd,BSE,2019-02-04,0.18 - 0.18,-,INR,-,Expected
1896.HK,Maoyan Entertainment,HKSE,2019-02-04,-,14.8,HKD,13237800,Priced
1896.HK,Maoyan Entertainment,HKSE,2019-02-04,-,14.8,HKD,15907200,Priced
1896.HK,Maoyan Entertainment,HKSE,2019-02-04,-,14.8,HKD,103232000,Priced
,Q P Group Holdings Ltd,HKSE,2019-02-04,-,-,HKD,-,Filed
,Education Centre Of Australia,ASX,2019-02-04,-,-,AUD,-,Filed
,Tenlot Grp Ltd,Stockholm,2019-02-04,-,-,GBP,-,Filed
,Tbk & Sons Holdings Ltd,HKSE,2019-02-04,-,-,HKD,-,Filed
,Kranti Industries Ltd,BSE,2019-02-04,0.18 - 0.18,37,INR,2202000,Amended
,Panorama Capital Corp,TSXV,2019-02-04,0.08 - 0.08,-,CAD,2500000,Filed
PANO.P.V,Panorama Capital Corp,TSXV,2019-02-04,0.08 - 0.08,0.1,CAD,5000000,Amended
,Kranti Industries Ltd,BSE,2019-02-04,0.18 - 0.18,37,INR,117000,Amended
,Ashapuri Gold Ornament Ltd,BSE,2019-02-06,0.71 - 0.71,51,INR,298000,Priced
,Ashapuri Gold Ornament Ltd,BSE,2019-02-06,0.71 - 0.71,51,INR,5452000,Priced
LSPD.V,Lightspeed POS Inc,TSXV,2019-02-06,-,16,CAD,15000000,Priced
HHHHU,WEALTHBRIDGE ACQUISITION LTD,NasdaqCM,2019-02-06,10.00 - 10.00,-,USD,-,Expected
LSPD.V,Lightspeed POS Inc,TSXV,2019-02-06,-,-,CAD,-,Filed
,Absolute Clean Energy PCL,Thailand,2019-02-06,-,-,THB,-,Amended
,Inter Med Care And Lab PCL,Thailand,2019-02-06,-,-,THB,-,Amended
,Invesus Finl Svcs Grp,ASX,2019-02-06,-,-,AUD,-,Amended
2972.JP,Sankei Real Estate Inc,Japan OTC,2019-02-07,910.70 - 910.70,-,JPY,216876,Priced
